filename,pages,strict_pages,bookmarks,preflight_ok,size_mb,sha256
Embodied_Robot_Intelligence_Edition1_2_First_Appearance_Definitions_and_Derivation_Repairs.pdf,18,18,26,True,0.23,7dc3e65ca49c6821cc382b8d535e68c70c47caaa106484ae8a7abcde881359d4
Embodied_Robot_Intelligence_Edition1_Volume1_Mathematical_Foundations.pdf,134,134,224,True,2.49,98eff5d6790aea5f3ff2e1d880357a0140fec949aa872f83a09577b1a5d593fe
Embodied_Robot_Intelligence_Edition1_Volume2_Classical_Robotics.pdf,176,176,334,True,1.85,a3b095b11f26d1fb71ce8bd9b44c477955530b2c436d002d7e78252319ee3d69
Embodied_Robot_Intelligence_Edition1_Volume3_Robot_Manipulation.pdf,170,170,336,True,2.02,f2bbbe2d7c680573fe640bf21778860aed7818b29652c51e3a4a07763ee03da1
Embodied_Robot_Intelligence_Edition1_1_Undergraduate_Revision_Supplement.pdf,18,18,23,True,0.24,4845429d569d3d4a67951bf71208205a1c417d6cda4da9e467a7cde2d5a76b98
Embodied_Robot_Intelligence_Edition1_Volume4_Locomotion_REVISED_Deep_Complete_Chapters1-9.pdf,1032,1032,9,True,16.66,fbee91104759cdf6f0811a8bc4c3cbb550f07bfd402cae66b7f66e160a389901
Embodied_Robot_Intelligence_Edition1_Volume5_Whole_Body_Loco_Manipulation_Complete_Chapters1-5.pdf,363,363,5,True,7.83,3ec1aae322c038e3266c3af9732a711d44823b41c1b9c31dfde5a289642f892c
ERI_V6_REVISED_DEEP_COMPLETE_REPAIRED.pdf,410,410,4,True,8.5,0ba35c6ed3cc5502353d0a5f89b32a666f0212d6e2291ce9b1fabcac2f4e29aa
Embodied_Robot_Intelligence_Edition1_Volume7_World_Foundation_Models_Chapters1-8_REPAIRED.pdf,1172,1172,8,True,19.43,5a0ef45878ef7a8a5928afa87bb8e32f0db067d9c66ba715bfc0c20a5831d6f6
Embodied_Robot_Intelligence_Volume8_Chapters1-3_SAFE_REBUILT.pdf,478,478,4,True,5.83,506968d2a0be98a4e8d4c9fc15ed89095388a4dcdf9108c0db1d5496250334ae
Embodied_Robot_Intelligence_MASTER_Through_Volume8_Chapter3_FIXED_WITH_BOOKMARKS.pdf,3971,3971,90,True,71.35,7ea65012bb40ff927c9a2b4a183ed47b2a777c3fcfd69daf5f8c1f6d4a5ce6fe
